num_of_agents,items_per_agent,value_noise_ratio,alpha,algorithm,seed,success,max_overload,runtime,num_items,instance_size
20,6,0.3,0.8,hffd,1,1,-0.117048698592896,0.0164506769942818,120,2400
20,6,0.3,0.8,hffd,2,1,-0.0679535147248771,0.0145213039941154,120,2400
20,6,0.3,0.8,hffd,3,1,-0.1310646480729644,0.0157740949944127,120,2400
20,6,0.3,0.8,hffd,4,1,-0.0393953550785113,0.016137961007189,120,2400
20,6,0.3,1.0,hffd,0,1,-0.0023263047755222,0.0148614880017703,120,2400
20,6,0.3,1.0,hffd,1,1,-0.0616864614625001,0.0179037630005041,120,2400
20,6,0.3,1.0,hffd,2,1,-0.1401597209554665,0.015451535989996,120,2400
20,6,0.3,1.0,hffd,3,1,-0.1420329735789209,0.0149681720067746,120,2400
20,6,0.3,1.0,hffd,4,1,-0.0348146237462856,0.0144644450047053,120,2400
20,6,0.3,1.2,hffd,0,1,-0.0536582972122801,0.0190487090003443,120,2400
20,6,0.3,1.2,hffd,1,1,-0.2948295493936825,0.0164436109917005,120,2400
20,6,0.3,1.2,hffd,2,1,-0.0121209161334832,0.0156216489995131,120,2400
20,6,0.3,1.2,hffd,3,1,-0.2199429127995813,0.0173340650071622,120,2400
20,6,0.3,1.2,hffd,4,1,-0.4122145820140872,0.0164185869944049,120,2400
40,3,0.0,0.8,hffd,0,1,-0.8199999999999932,0.041013092995854,120,4800
40,3,0.0,0.8,hffd,1,1,-0.1800000000000068,0.0383181790093658,120,4800
40,3,0.0,0.8,hffd,2,1,-0.0400000000000204,0.0401271599985193,120,4800
40,3,0.0,0.8,hffd,3,1,-0.3000000000000113,0.0410221620113588,120,4800
40,3,0.0,0.8,hffd,4,1,-0.8199999999999932,0.0363027679995866,120,4800
40,3,0.0,1.0,hffd,0,1,-0.2750000000000057,0.0420882140024332,120,4800
40,3,0.0,1.0,hffd,1,1,-0.9749999999999944,0.0393866459926357,120,4800
40,3,0.0,1.0,hffd,2,1,-0.3000000000000113,0.0398653279989957,120,4800
40,3,0.0,1.0,hffd,3,1,-0.125,0.0429956720035988,120,4800
40,3,0.0,1.0,hffd,4,1,-0.7750000000000057,0.0393307659978745,120,4800
40,3,0.0,1.2,hffd,0,1,-0.7299999999999898,0.0403297120064962,120,4800
40,3,0.0,1.2,hffd,1,1,-0.7699999999999818,0.0385387940041255,120,4800
40,3,0.0,1.2,hffd,2,1,-0.5600000000000023,0.0427389499964192,120,4800
40,3,0.0,1.2,hffd,3,1,-0.9499999999999886,0.0384739340079249,120,4800
40,3,0.0,1.2,hffd,4,1,-0.7299999999999613,0.0373450570041313,120,4800
40,3,0.3,0.8,hffd,0,1,-0.0919727010917768,0.0399503559892764,120,4800
40,3,0.3,0.8,hffd,1,1,-0.0738418161998879,0.0410389550088439,120,4800
40,3,0.3,0.8,hffd,2,1,-0.116128815878568,0.0410163600026862,120,4800
40,3,0.3,0.8,hffd,3,1,-0.0121492365004201,0.0409298140002647,120,4800
40,3,0.3,0.8,hffd,4,1,-0.0506549046218935,0.0449859329964965,120,4800
40,3,0.3,1.0,hffd,0,1,-0.0350577859877319,0.0396625389985274,120,4800
40,3,0.3,1.0,hffd,1,1,-0.2197982848113326,0.0493771799956448,120,4800
40,3,0.3,1.0,hffd,2,1,-0.0887696558363302,0.0438986329972976,120,4800
40,3,0.3,1.0,hffd,3,1,-0.0350859470754301,0.0425527450133813,120,4800
40,3,0.3,1.0,hffd,4,1,-0.3987172316190879,0.0409974160138517,120,4800
40,3,0.3,1.2,hffd,0,1,-0.0018410072456447,0.0385797570052091,120,4800
40,3,0.3,1.2,hffd,1,1,-0.1728941762235933,0.0387844910001149,120,4800
40,3,0.3,1.2,hffd,2,1,-0.0334270509924863,0.0415405840030871,120,4800
40,3,0.3,1.2,hffd,3,1,-0.0417326764979293,0.0445763620082289,120,4800
40,3,0.3,1.2,hffd,4,1,-0.0426145731052827,0.0395009149942779,120,4800
40,6,0.0,0.8,hffd,0,1,-0.3000000000000113,0.1137903079943498,240,9600
40,6,0.0,0.8,hffd,1,1,-0.1200000000000045,0.1042787499900441,240,9600
40,6,0.0,0.8,hffd,2,1,-0.7600000000000477,0.1058292380039347,240,9600
40,6,0.0,0.8,hffd,3,1,-0.0800000000000409,0.1072465670004021,240,9600
40,6,0.0,0.8,hffd,4,1,-0.160000000000025,0.1249004440032877,240,9600
40,6,0.0,1.0,hffd,0,1,-0.125,0.1227393779990961,240,9600
40,6,0.0,1.0,hffd,1,1,-0.6499999999999773,0.1187965110002551,240,9600
40,6,0.0,1.0,hffd,2,1,-0.9499999999999886,0.117638313997304,240,9600
40,6,0.0,1.0,hffd,3,1,-0.1000000000000227,0.1227613719966029,240,9600
40,6,0.0,1.0,hffd,4,1,-0.4499999999999886,0.13136505401053,240,9600
40,6,0.0,1.2,hffd,0,1,-0.9499999999999886,0.1320412289933301,240,9600
40,6,0.0,1.2,hffd,1,1,-0.1799999999999499,0.1453461589990183,240,9600
40,6,0.0,1.2,hffd,2,1,-0.1399999999999863,0.1555433609901229,240,9600
40,6,0.0,1.2,hffd,3,1,-0.1200000000000045,0.1360344239947153,240,9600
40,6,0.0,1.2,hffd,4,1,-0.7399999999999523,0.1322431270091328,240,9600
40,6,0.3,0.8,hffd,0,1,-0.0067576730023688,0.1237484290031716,240,9600
40,6,0.3,0.8,hffd,1,1,-0.0428005989346047,0.1142225910007255,240,9600
40,6,0.3,0.8,hffd,2,1,-0.1887511552929481,0.1134125530079472,240,9600
40,6,0.3,0.8,hffd,3,1,-0.0117726148012025,0.1121381520060822,240,9600
40,6,0.3,0.8,hffd,4,1,-0.0044721486645471,0.1353396510094171,240,9600
40,6,0.3,1.0,hffd,0,1,-0.3871928948890399,0.118753665999975,240,9600
40,6,0.3,1.0,hffd,1,1,-0.002990612242911,0.1276548060122877,240,9600
40,6,0.3,1.0,hffd,2,1,-0.0053217091422084,0.114670406008372,240,9600
40,6,0.3,1.0,hffd,3,1,-0.0208820563439076,0.1198010070074815,240,9600
40,6,0.3,1.0,hffd,4,1,-0.0038431161747212,0.1253481169987935,240,9600
40,6,0.3,1.2,hffd,0,1,-0.0612167282517361,0.1169358570041367,240,9600
40,6,0.3,1.2,hffd,1,1,-0.0787381550234727,0.1191502940055215,240,9600
40,6,0.3,1.2,hffd,2,1,-0.0512198013342413,0.1197624109918251,240,9600
40,6,0.3,1.2,hffd,3,1,-0.0071292977126518,0.1269138250063406,240,9600
40,6,0.3,1.2,hffd,4,1,-0.0183839937919287,0.1530173490027664,240,9600
10,3,0.0,0.8,hffd_nadav,0,1,-0.3199999999999932,0.001142063003499,30,300
10,3,0.0,0.8,hffd_nadav,1,1,-0.8800000000000239,0.000668330991175,30,300
10,3,0.0,0.8,hffd_nadav,2,1,-0.3199999999999932,0.0005617799906758,30,300
10,3,0.0,0.8,hffd_nadav,3,1,-0.4400000000000119,0.0003089320089202,30,300
10,3,0.0,0.8,hffd_nadav,4,1,-0.4399999999999977,0.0003095860010944,30,300
10,3,0.0,1.0,hffd_nadav,0,1,-0.9000000000000057,0.0004712579975603,30,300
10,3,0.0,1.0,hffd_nadav,1,1,-0.5999999999999943,0.0003701039968291,30,300
10,3,0.0,1.0,hffd_nadav,2,1,-0.9000000000000057,0.0003673390019685,30,300
10,3,0.0,1.0,hffd_nadav,3,1,-0.8000000000000114,0.0003943310002796,30,300
10,3,0.0,1.0,hffd_nadav,4,1,-0.3000000000000113,0.0003318229864817,30,300
10,3,0.0,1.2,hffd_nadav,0,1,-0.4799999999999613,0.0003268150030635,30,300
10,3,0.0,1.2,hffd_nadav,1,1,-0.3199999999999932,0.000351323003997,30,300
10,3,0.0,1.2,hffd_nadav,2,1,-0.4799999999999897,0.0003656969929579,30,300
10,3,0.0,1.2,hffd_nadav,3,1,-0.1599999999999966,0.0004186300066066,30,300
10,3,0.0,1.2,hffd_nadav,4,1,-1.1599999999999966,0.0003203330124961,30,300
10,3,0.3,0.8,hffd_nadav,0,1,-0.175046572011297,0.0003331839980091,30,300
10,3,0.3,0.8,hffd_nadav,1,1,-0.863345961401194,0.000338529003784,30,300
10,3,0.3,0.8,hffd_nadav,2,1,-1.1221457684110447,0.0003222689992981,30,300
10,3,0.3,0.8,hffd_nadav,3,1,-0.4733566504600048,0.0003570340049918,30,300
10,3,0.3,0.8,hffd_nadav,4,1,-1.2237331616007625,0.0003800109989242,30,300
10,3,0.3,1.0,hffd_nadav,0,1,-0.0304110010407896,0.00032217700209,30,300
10,3,0.3,1.0,hffd_nadav,1,1,-0.2211675853617123,0.0003307689912617,30,300
10,3,0.3,1.0,hffd_nadav,2,1,-1.1586726405045056,0.0003635820030467,30,300
10,3,0.3,1.0,hffd_nadav,3,1,-0.7221560402724663,0.0004738159914268,30,300
10,3,0.3,1.0,hffd_nadav,4,1,-1.0847157871921809,0.0004693929950008,30,300
10,3,0.3,1.2,hffd_nadav,0,1,-0.214867795707164,0.0004645400040317,30,300
10,3,0.3,1.2,hffd_nadav,1,1,-0.3990083957210117,0.0005459710082504,30,300
10,3,0.3,1.2,hffd_nadav,2,1,-0.2678680192645686,0.0010465889936313,30,300
10,3,0.3,1.2,hffd_nadav,3,1,-0.973202100571001,0.0003944159980164,30,300
10,3,0.3,1.2,hffd_nadav,4,1,-0.3188587620326473,0.0003744340065168,30,300
10,6,0.0,0.8,hffd_nadav,0,1,-0.32000000000005,0.000465195000288,60,600
10,6,0.0,0.8,hffd_nadav,1,1,-0.7600000000000477,0.0006953690026421,60,600
10,6,0.0,0.8,hffd_nadav,2,1,-0.2800000000000295,0.0005184679903322,60,600
10,6,0.0,0.8,hffd_nadav,3,1,-0.5999999999999943,0.0005024290003348,60,600
10,6,0.0,0.8,hffd_nadav,4,1,-0.920000000000016,0.0005388040008256,60,600
10,6,0.0,1.0,hffd_nadav,0,1,-0.3999999999999772,0.0004814400017494,60,600
10,6,0.0,1.0,hffd_nadav,1,1,-0.1999999999999886,0.0005788050038972,60,600
10,6,0.0,1.0,hffd_nadav,2,1,-0.1000000000000227,0.0004863759968429,60,600
10,6,0.0,1.0,hffd_nadav,3,1,-0.5,0.0005739490006817,60,600
